Indicators,Year ,Month,Value
Exchange Rate for the U.S. Dollars,2008,2,106.87
Exchange Rate for the U.S. Dollars,2008,3,109
Exchange Rate for the U.S. Dollars,2008,4,109.43
Exchange Rate for the U.S. Dollars,2008,5,109.02
Exchange Rate for the U.S. Dollars,2008,6,108.81
Exchange Rate for the U.S. Dollars,2008,7,109.62
Exchange Rate for the U.S. Dollars,2008,8,106.8
Exchange Rate for the U.S. Dollars,2008,9,104.23
Exchange Rate for the U.S. Dollars,2008,10,97.74
Exchange Rate for the U.S. Dollars,2008,11,95.35
Exchange Rate for the U.S. Dollars,2008,12,96.36
Exchange Rate for the U.S. Dollars,2009,1,95.76
Exchange Rate for the U.S. Dollars,2009,2,93.46
Exchange Rate for the U.S. Dollars,2009,3,93.06
Exchange Rate for the U.S. Dollars,2009,4,95.43
Exchange Rate for the U.S. Dollars,2009,5,98.25
Exchange Rate for the U.S. Dollars,2009,6,99.53
Exchange Rate for the U.S. Dollars,2009,7,99.87
Exchange Rate for the U.S. Dollars,2009,8,101.11
Exchange Rate for the U.S. Dollars,2009,9,101.88
Exchange Rate for the U.S. Dollars,2009,10,103.36
Exchange Rate for the U.S. Dollars,2009,11,103.85
Exchange Rate for the U.S. Dollars,2009,12,103.39
Exchange Rate for the U.S. Dollars,2010,1,103.1
Exchange Rate for the U.S. Dollars,2010,2,101.59
Exchange Rate for the U.S. Dollars,2010,3,102.47
Exchange Rate for the U.S. Dollars,2010,4,102.99
Exchange Rate for the U.S. Dollars,2010,5,100.22
Exchange Rate for the U.S. Dollars,2010,6,99.68
Exchange Rate for the U.S. Dollars,2010,7,101.25
Exchange Rate for the U.S. Dollars,2010,8,102.05
Exchange Rate for the U.S. Dollars,2010,9,103.05
Exchange Rate for the U.S. Dollars,2010,10,105.79
Exchange Rate for the U.S. Dollars,2010,11,105.49
Exchange Rate for the U.S. Dollars,2010,12,104.81
Exchange Rate for the U.S. Dollars,2011,1,106.03
Exchange Rate for the U.S. Dollars,2011,2,106.84
Exchange Rate for the U.S. Dollars,2011,3,107.86
Exchange Rate for the U.S. Dollars,2011,4,109.68
Exchange Rate for the U.S. Dollars,2011,5,109.72
Exchange Rate for the U.S. Dollars,2011,6,109.75
Exchange Rate for the U.S. Dollars,2011,7,110.52
Exchange Rate for the U.S. Dollars,2011,8,109.89
Exchange Rate for the U.S. Dollars,2011,9,106.7
Exchange Rate for the U.S. Dollars,2011,10,105.72
Exchange Rate for the U.S. Dollars,2011,11,105.05
Exchange Rate for the U.S. Dollars,2011,12,104.07
Exchange Rate for the U.S. Dollars,2012,1,104.73
Exchange Rate for the U.S. Dollars,2012,2,106.58
Exchange Rate for the U.S. Dollars,2012,3,105.93
Exchange Rate for the U.S. Dollars,2012,4,105.59
Exchange Rate for the U.S. Dollars,2012,5,103.78
Exchange Rate for the U.S. Dollars,2012,6,102.32
Exchange Rate for the U.S. Dollars,2012,7,102.82
Exchange Rate for the U.S. Dollars,2012,8,103.72
Exchange Rate for the U.S. Dollars,2012,9,105.35
Exchange Rate for the U.S. Dollars,2012,10,105.65
Exchange Rate for the U.S. Dollars,2012,11,104.98
Exchange Rate for the U.S. Dollars,2012,12,105.58
Exchange Rate for the U.S. Dollars,2013,1,105.67
